HoldingNo,Floor,BuildupSqft,ConstType,Usage,Occupancy,YearBuilt,ClosingYear,FloorARV,FloorTax
MUNG- 03103,First Floor - 1,550,RCC,Residential,self,,,,
MUNG- 03737,Ground Floor - 0,2075,RCC,Residential,self,,,,
MUNG- 03737,First Floor - 1,2075,RCC,Residential,self,,,,
MUNG- 03737,Second Floor - 2,700,RCC,Residential,self,,,,
MUNG- 10290,Ground Floor - 0,2516,RCC,Residential,self,,,,
MUNG- 10290,First Floor - 1,2516,RCC,Residential,self,,,,
MUNG- 1351,Ground Floor - 0,3618,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 1351,First Floor - 1,3618,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 1351,Second Floor - 2,3618,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 1351,Third Floor - 3,3618,Asbestos,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",self,,,,
MUNG- 09313,Ground Floor - 0,1440,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 09313,First Floor - 1,1440,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 09313,Second Floor - 2,1440,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 09313,Third Floor - 3,1440,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 00848,Ground Floor - 0,1612,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 00848,First Floor - 1,1612,RCC,Residential,self,,,,
MUNG- 17916,Ground Floor - 0,1610,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 17916,Ground Floor - 0,1215,RCC,Residential,self,,,,
MUNG- 17916,First Floor - 1,1215,RCC,"shops(250 sq ft and above), showroom, shopping mall, cinema, multiplex, dispensary, lab, restaurant, guest house",self,,,,
MUNG- 17916,First Floor - 1,1610,RCC,Residential,self,,,,
MUNG- 13054,Ground Floor - 0,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
MUNG- 13054,First Floor - 1,1170,RCC,"commercial office, financial institutions, banks, insurance office, pvt hospitaland nursing home",rented,,,,
